only	కేవలం సార్లు మాత్రమే
new regulations	నూతన పరిచయం
read here	ఇక్కడ చదవండి
thats questionable	అన్నది ఏదేమైనా
approve	ను
series leaders	సిరీస్ నాయకులు
research	రీసెర్చ్
he turns	ఏళ్లు వచ్చినా
payment plans	ఆఫ్
and hello	మరి ఏ హై
key events	ముఖ్య
step three	మూడు
no	బాధ ఉండదు
daily reports	రోజూ నివేదిక
presently rs	ప్రస్తుతం రూ
world cup	అందించారు
crore revenue	కోట్లకు
never ever	ఎప్పుడూ చేయకపోతే
basic rules	ప్రాథమిక నియమాలు జాబితా
attractive salary	వేతనాలు
market	మార్కెట్
sugar tablespoons	టేబుల్ స్పూన్లు
organisations schools	పాఠశాలలు సంస్థలు
china unit	చైనా
the staff	సిబ్బంది అందిస్తున్న
making change	మార్పు చేస్తున్నాం
fabulous music	అద్భుతమైన సంగీతం
control	బడ్జెట్ నియంత్రణ
and really	మరి నిజంగా
crores each	కోట్లు ఇవ్వాలి
home grown	ఇంట్లోనే
popular destinations	ప్రసిద్ధ
engineering construction	ఇంజనీరింగ్ మరియు నిర్మాణం
bjps loss	బీజేపీ ఘోర పరాజయం
additional services	అదనపు రుసుము
more education	మరింత విద్య
not pooja	కాదు
actually impossible	అసలు కుదరదు
window	కొత్త విండో
already rs	ఇప్పటికే మూడు రూ
review	రివ్యూ అండ్ రేటింగ్
rs crores	కోట్ల రూపాయలను అందజేశారు
them	బోల్తా
command directive	కమాండ్ ఆదేశం
greater good	మహా మేలు
people killed	మంది మృతి
debate	సాహిత్యం చర్చ
k	కె
thereby he	దీంతో అతని
again why	మరెందుకు
is free	ఉంటుంది
then t	అప్పుడు
no review	సమీక్ష లేకుండా
it	ఐటి సోదాలు
field	ఫీల్డ్
common symptoms	వ్యాధి మహత్తర లక్షణాలు
electric plane	ఎలక్ట్రిక్ విమానాలు
cultural	సాంస్కృతిక సంబంధాలు
still	ఇప్పటికీ పరిష్కారం కాలేదు
photos layout	నమూనా
its clear	అంటూ స్పష్టం చేశారు
all quiet	అంతా
judgement reserved	తీర్పు రిజర్వ్ చేసింది
arts	ఆర్ట్
superb movie	సినిమా
extreme sports	క్రీడలు
decreased productivity	తగ్గిన
asked	అని
debt	ఇక రుణం
memory games	ఆటలు
to rs	తగ్గి రూ
lakh rs	లక్షలు అంటే నెలకు రూ
indian batsman	భారత బ్యాట్స్మన్
discipline must	క్రమశిక్షణ
use technology	టెక్నాలజీని
promotes immunity	రోగనిరోధక
to rs	నుండి రూ
big	గొప్ప బ్రేక్
godavari river	చుట్టూ గోదావరి నది
of nominations	వేస్తూ
im leaving	వదిలిపెట్టి
rs crore	కోట్ల బడ్జెట్తో నిర్మించింది
itchy eyes	కళ్ళు చప్పుడు
hyderabad	హైదరాబాద్
asks	అడిగాడు
social	సామాజిక
covid	కోవిడ్
rs	రూ రూ
i asked	అని అడిగాను
no hunger	ఆకలి ఉండదు
causes	ఊపిరితిత్తుల సంబంధిత కారణాలు
miss why	భార్య ఎందుకు
whos	హర్షం వ్యక్తం చేస్తున్నారు
everyones happy	అందరూ సంతోషంగా
added pressure	ఒత్తిడి పెంచారు
private work	ఉద్యోగం చేస్తున్నాడు
love birds	ప్రేమ పక్షులు
career comeback	వృత్తి
lakh crore	లక్ష కోట్లు
great success	అద్భుత విజయం
no matter	లేదు
indian history	ఇండియన్
lakh loss	లక్షల నష్టం
barack obama	ఒబామా
father retired	నాన్నగారు
executive director	డైరెక్టర్
however rs	అయితే కలిపి రూ
death	మరణం
game time	గేమ్ సమయంలో
it costs	దీంతో ఖర్చు
cyber	సైబర్ ఆయుధం
bollywood career	బాలీవుడ్ కెరీర్
hair	జుట్టు
first month	మొదటి నెల రూ
camera features	కెమెరా ఫీచర్
priced at	కే ఆఫర్ చేస్తోంది
dark games	ఆటలు
is rs	సంవత్సరానికి తనకు రూ
bjp government	ఇక నేతృత్వంలోని ప్రభుత్వ
becoming an actress	నటి
density of materials	మెటీరియల్ మందం
mr siva counsel	మిస్టర్ శివ
it me	అని నన్ను
whats the story	కథ
low on funds	నిధులు తక్కువగా
everything has happened	అన్నీ చకచకా జరిగిపోయాయి
lucky colour	లక్కీ కలర్ గోధుమ రంగు
is it really	ఇది నిజంగా ఈజ్
in hyderabad	హైదరాబాద్లో
effect on loans	వీటి ఎఫెక్ట్
because its	ఎందుకంటే అది బందీ
price at rs	ధర రూ
design and engineering	ఇన్ఫ్రాస్ట్రక్చర్ అండ్ డిజైన్
thats the movie	అదీ సినిమా
and sexy	సెక్సీ మరియు
parents foul	గుండెలు తల్లిదండ్రులు
issued an apology	క్షమాపణలు చెప్పాడు
enhances communication skills	కమ్యూనికేషన్ నైపుణ్యాలు అభివృద్ధి
five thousand crore	ఐదువేల కోట్లు
sbi life buy	ఎస్బీఐ లైఫ్ ఇన్సూరెన్స్ టార్గెట్ రూ
district	జిల్లా
day special	డే స్పెషల్
bring tea immediately	టీ వెంటనే
workers to protest	కార్మికులు
whos in it	అందులో ఉన్నది ఎవరు
its another step	ఇదొక మరో కొత్త అడుగు
can you win	మళ్లీ
you are leaving	మరి
a challenging city	సవాలుగా ఉన్న నగరం
where to start	ఎక్కడి నుంచి
well almost anything	అవును దాదాపు ఏదైనా
for farmers rs	రైతుకు పంట ఎకరానికి రూ
pick a name	క్రొత్త పేరుని ఎంచుకోండి
places names	వీటిని ఫండ్స్ అంటారు
about the protest	గురించి
high road	రోడ్డు ఎక్కువ మరణాలు
buy	ప్రస్తుత ధర రూ
its not wrong	తప్పు కాదు
hes not fat	అతను భారీ కాదు
about children participated	మంది పిల్లలకు భోజనం
yes it did	అవును
registration is free	మరియు నమోదు ఉచిత ఉంది
save and quit	మరియు
cup paste	కప్పు తురిమిన చీజ్
men not allowed	ప్రవేశం లేదు
shares and securities	షేర్లు
becoming less active	తక్కువ చురుకుగా ఉండటం
and braking	అండ్ బ్రేకింగ్
types of	రకాలు
low theme	తక్కువ
i am surprised	నేను
dont go away	అని చెప్పింది
inflation expectations	అంచనాలను
seeing it all	ఇవన్నీ
featured complete	విశేష పూర్తి
the three are	వారు ఉన్నారు
list of actions	చర్యలు జాబితా
mr rao	శ్రీ రావు
polavaram project works	పాలమూరు
take immediate action	వెంటనే చర్యలకు
the material includes	పదార్థం క్రింది పదార్థాల నుంచి తయారు చేస్తారు
bring it home	స్వదేశానికి
follow traffic rules	ట్రాఫిక్ రూల్స్
new rs	చెన్నై వెబ్సైట్ ప్రకారం కొత్త రూ
im in heaven	నేను
its very beautiful	ఇది చాలా అందంగా ఉంది
the judges asked	అని ప్రశ్నించారు
crores and rs	కోట్లు అల్లుడు రూ
i cant do	నేను
dont go back	తిరిగి
families in	చీకటి కుటుంబాల్లో
of the rs	వారి వద్ద నుంచి రూ
so far rs	ఇప్పటివరకు భారతదేశ చరిత్రలో రూ
three thieves held	ముగ్గురు దొంగలు
lakh at least	లక్షల వరకు చెల్లించాల్సి ఉంది
so say it	కనుక చెప్పి
mind is	వక్రించింది
people in the	ప్రజలు
yes say researchers	అంటే అవుననే విశ్లేషకులు చెబుతున్నారు
its totally	పూర్తిగా వుంది
rule of law	చట్టబద్ధమైన పాలన
whats the story	ఏమిటా కథ
kl rahul out	ఓపెనర్ కేఎల్ రాహుల్ అవుట్
keep it fun	ఉండండి
how to do	ఎలా చేయాలి
courtesy the hindu	హిందూ
no required	ఇందుకు ఎలాంటి అవసరం లేదు
k chandrasekhara rao	కె
available remote addons	రిమోట్
the right hand	కుడి
none of english	ఇంగ్లిషు లేదు
something was	ఏదో ఉండేవారు
notices to	నోటీసులు
the materials include	దీని
one such video	ఇలాంటి ఒకటి
course fee rs	కోర్సు రుసుము రూ
no reasons given	ఎలాంటి కారణాలు చెప్పలేదు
join the debate	చర్చలో
by the sea	సముద్రం ద్వారా
the complete picture	ది కంప్లీట్
the village story	కథ
key benefits include	యొక్క ప్రధాన ప్రయోజనాలు ఉన్నాయి
youre a boy	నువ్వా
lakh delhi	లక్షలు గా ఉండవచ్చు
pakistan is	నిప్పులు
crore and above	కోట్లను వెల్లడించింది
and his	తన
not the both	అంతే కాదు ఇద్దరికీ కూడా
listen to music	సంగీతం
kerala bars	కేరళలో
money is spent	డబ్బు వృథా అవుతుంది
restoration of	హోదా పునరుద్ధరణ
keeps cancer away	క్యాన్సర్ రాకుండా నివారిస్తాయి
time and	సమయం మరియు
you are alone	నువ్వే మరి
colours and	మరియు రంగుల
other medical conditions	ఇతర ఆరోగ్య పరిస్థితులు
its not	అది భయం కాదు
director srinivas raju	దర్శకుడు శ్రీనివాస్ రావు
aamir khan brother	కరణ్ ఆమిర్ ఖాన్ సోదరుడు
the examination committee	పరీక్షా కమిటీ
types of loans	రకాల
i am safe	నాకు భద్రత
a new museum	ఓ కొత్త మ్యూజియం
photo credit	ఫోటో క్రెడిట్
implementation is key	అమలు కీలకం
picture on page	వ పేజీలోని చిత్రం
europe and asia	టు యూరోప్ అండ్
important documents seized	పలు కీలక స్వాధీనం
best indian batsman	టీం ఇండియా బెస్ట్
few it	కొద్దిమంది
or	లేదా
why building	ఎందుకు భవనం నిర్మాణ కల
whats the	ఏమిటి
use light colours	ఉపయోగించండి
not to miss	కోల్పోవడం లేదు
he was surprised	అని
so keep smiling	ఐతే అలా
the man	మనిషి
the other mp	మరో ఎంపీ కూడా
so is china	అలాగే చైనా కూడా
thank u everyone	అందరికి ధన్యవాదాలు
and care	సాగు మరియు హార్వెస్టింగ్
two years previously	రెండు సంవత్సరాల క్రితం
apple iphone s	యాపిల్ ఐఫోన్ ఎస్
cost of tickets	టిక్కెట్ ధర
focus on achievement	విజయంపై దృష్టి
style and technique	మరియు టెక్నాలజీ
history culture beauty	సంస్కృతి మతం చరిత్ర
its pure fun	ఈ ఒక స్వచ్ఛమైన సరదాగా ఉంటుంది
the plans include	ప్రణాళిక క్రింది అంశాలను కలిగి
some like it	అందులో కొన్ని
statistics speak	గణాంకాలు ఉంటాయి
security is lax	భద్రతా
times	టైమ్స్
im very happy	నాకు చాలా ఆనందంగా ఉంది అని వ్యాఖ్యానించింది
sounds like fun	అనిపిస్తుంది
ward no	నెం
lets see how	ఎలా చేయాలో మరి
impact on markets	ఎఫెక్ట్
alcohol is	మద్యం జరిగింది
why just politicians	రాజకీయ దాకా ఎందుకు
rs lakh seized	లక్షలు స్వాధీనం చేసుకున్నారు
how to treat	ఎలా వ్యాధి చికిత్స
power supply	విద్యుత్ సరఫరా
has anyone responded	ఎవరైనా చేశారా
educational qualification	అర్హత ఉత్తీర్ణత
the movie delivers	సినిమా
a strategy	నిర్ణయం
i found it	ఇది నేను
producer dil raju	నిర్మాతలు దిల్ రాజు
for	దరఖాస్తు
who launched it	ఎవరు
can be used	ను
hes the one	అతను అతనే
arent women	మహిళలు లేరా
the state health	రాష్ట్ర వైద్య ఆరోగ్య శాఖ
file photo	ఫోటో
mustard half teaspoon	పంచదార టీస్పూన్
i love france	కానీ ఫ్రాన్స్ అంటే
lakhs in cash	లక్షల క్యాష్
many are dying	ఎంతో మంది
additional taxes apply	దీనిని అదనపు చార్జీలు వర్తిస్తాయి
being searched	శోధన
songs are sung	పాటలు
committee recommendations	కమిటీ
suitable for everyone	అందరికీ
whats the benefit	ఏం లాభం జరుగుతుంది
congress bjp marches	కదలని కాంగ్రెస్ బీజేపీ
trade and investment	పెట్టుబడి మరియు వ్యాపార
heaven or	లేదా
if all goes	అన్ని సక్రమంగా ఉన్నా
thats the hope	ఇది ఆశలు
problem solved right	కదా
doctors are shocked	దీంతో సదరు వైద్యులు షాక్ అయ్యారు
the king	రాజు వేశాడు
rs to rs	కోట్ల నుంచి రూ కోట్లు రూ
however at rs	అయితే దీన్ని రూ
meters of land	భూమి యొక్క మీటర్లు
the first rs	నిలిచిన మొదటి రూ
and love	లవ్ మరియు నిరాశ
repeat if necessary	అవసరమైతే
amaravati farmers protest	అమరావతి రైతుల దీక్షలు
it was crore	కోట్ల భారం అన్నారు
end of over	తో
thanks once again	ధన్యవాదములు
tarnished golden dreams	ప్రాణాలు తీసిన బంగారు కలలు
experience matters too	అనుభవం కూడా పరిగణనలోకి తీసుకుంటారు
politics has changed	రాజకీయాలు మారుతున్నాయి
but in politics	కానీ కానీ రాజకీయాల్లో కానీ
whats the use	ఉపయోగం ఏమిటీ
launched farmers movement	వ్యవసాయ కూలీల ఉద్యమం నిర్మించాడు
and who wins	మరి విజయం ఎవరిని వరిస్తుందో
director surender reddy	సురేందర్ రెడ్డి
buildings and	భవనాలు మరియు
driving the car	కారు చేయటం
people make mistakes	ప్రజలు తప్పులు చేస్తారు
culture and arts	సంస్కృతి
cow seed rs	రూ
investment and loans	పెట్టుబడులు రుణాలు తీసుకోవడం
exercise and activity	వ్యాయామాలు మరియు అంశాలు
he was detained	ఆయన్ని చుట్టుముట్టి
he immediately	తక్షణం క్షమాపణ చెప్పాలని ఆదేశించింది
he replied likewise	వాడు కూడా చేసాడు
he has rs	ఆయన సినిమాకు రూ
high success rate	అధిక విజయం రేటు
nobody knows them	ఎవరూ తమకు
she was	ఆమె మనసు
we are sportsmen	మేము
whats doing well	ఏం బాగా
s it true	నిజమే కదా
peace and	శాంతి మరియు
crore indian rupees	కోట్ల రూపాయలకు కైవసం చేసుకుంది
assets worth rs	ఆస్తులు రూ
why so	అంత
jobs and wages	జీతం మరియు వేతనాలు
lakh and rs	వేలు రూ
wouldnt you know	కాదని తెలిస్తే
where was it	ఎక్కడ ఉండేది
he loves	అతనికి చాలా ఇష్టం
ideas are shaped	ఆలోచనలకు రూపకల్పన జరుగుతుంది
easy and	మరియు తేలిక
we went ahead	న
national construction company	నేషనల్ కన్స్ట్రక్షన్ కంపెనీ
the list is	ఆ
we are fighting	మేమిద్దరం
light and dark	మరియు కాంతి
state govt employees	ప్రభుత్వ ఉద్యోగులను
if it snaps	అది
vehicles being checked	వాహనాలను తనిఖీ చేస్తున్నారు
mode of operation	ఆపరేషన్ మోడ్
honor her wishes	తన
i did films	నేనే సినిమాటోగ్రఫీ చేశాను
do not vote	ఓట్లు
you ask them	అని వారిని అంటూ వ్యక్తం చేసింది
the rate rs	ల రేటు చొప్పున రూ
he got married	చేసుకున్నాడు
water is essential	నీరు
path to	మార్గం
not so anymore	ఇక అలా కాదు
it was delayed	అది వాయిదా
crore was allocated	కోట్లు కేటాయించింది
at every turn	ప్రతి
we had doubts	దీంతో మాకు అనుమానం వచ్చింది
modi in america	అమెరికాలో మోడీకి
do you drink	తాగావా
and road	అండ్ రోడ్
just one million	కేవలం లక్షన్నర
how can apply	ఎలా
the panel includes	మడత పట్టిక క్రింది లక్షణాలను కలిగి ఉంటుంది
congress leaders	కాంగ్రెస్ లీడర్స్
free eye operations	ఆపరేషన్స్
the district magistrate	జిల్లా సమాధానం
srinagar district rs	పరిధిలో రూ
the asked	అడిగాడు
the rent court	కోర్టు
whats to celebrate	ఏమి
top button d	పైన బటన్
but not everyone	అయితే అందరికీ మాత్రం కాదు
at the moment	అని తెలిపారు
be here	అతను ఇక్కడే
labour laws	కార్మిక సవరణ
to health	ఆరోగ్యం
and peace	మరియు శాంతి
everyone lives for himself	అందరిలానే
axis bank shares rise	శాతం యాక్సిస్ బ్యాంక్ షేరు
why did he	తను
allow us to explain	మాకు వివరించేందుకు లెట్
the question for rs	అంటూ రు
such opportunities are rare	ఇలాంటి అవకాశాలు అరుదుగా వస్తాయి
too are changing	విధానం కూడా మారుతుంది
crore for the programme	వేల కోట్లు కేటాయించింది
lakhs by mumbai indians	లక్షలు లకు ముంబై దక్కించుకుంది
each individual is different	ఒక్కొక్కరి ఒక్కోలా ఉంటుంది
writer poet	కవి రచయిత మరియు
wishes to everyone	ప్రతి ఒక్కరికీ
it is very	చాలా ఇబ్బందిగా ఉంది అని రష్మిక తెలిపింది
hes played cricket	ఫస్ట్ క్లాస్ క్రికెట్లో
the skin becomes smooth	చర్మం
tennis	టెన్నిస్ కు దూరం కానున్న
a lot of it	పుష్కలంగా
but thats not it	కానీ అది కాదా
check out all details	అన్ని వివరాలు
thank you ravi	థ్యాంక్స్
has it ever happened	ఇది ఎప్పుడూ
the group the	వేదికపై జరిగిన ఆసియా గ్రూప్
crore and rs	కోట్లు రాజీవ్ కింద రూ
he had lost election	గత ఎన్నికల్లో ఆమె రెండోస్థానంలో నిలిచారు
post name assistant engineer	పోస్టు పేరు జూనియర్ ఆఫీసర్ అసిస్టెంట్
healthy skin and hair	చర్మం జుట్టు ఉంటాయి
i met him frequently	నను తరచుగా
nobody to anybody	ఎవరూ ఎవరి మాటా పరిస్థితి లేదు
why would i lie	ఎందుకు మోసం చేస్తున్నారు
kcr is the cm	అని సీఎం కేసీఆర్ చెప్పారు
ways to reduce stress	ఒత్తిడి తగ్గింపు పద్ధతులు
follow the doctors advice	డాక్టర్ల సూచనలు పాటించండి
state government	ప్రభుత్వం
its several times higher	ఇది ఎన్నో రెట్లు పెరిగింది
who is my mother	తల్లి ఎవరు
he must think quickly	మీరు త్వరగా
the bjp responded	దీనిపై బీజేపీ తీవ్రంగా స్పందించింది
improve focus and	దృష్టి చేస్తుంది
nobel prize in science	నోబెల్ బహుమతి
how big is it	ఎంత పెద్దగా ఉన్నాయి
but it looks like	కానీ
green chilli finely chopped	పచ్చిమిర్చి సన్నగా
it isnt so easy	అంత
and others participated	నాయక్ తదితరులు ఈ కార్యక్రమంలో పాల్గొన్నారు
no discussions at present	చర్చలు లేవు
star wars and peace	యుద్ధాలు మరియు శాంతి
the tdp has quit	టీడీపీని
are you for real	ఇది
the are strong	గట్టిగా ఉన్నాయి
so far its good	ఇంతవరకూ బాగానే వుంది
bangalore university	యూనివర్సిటీ బెంగళూరు
kids got it	కిడ్ అది
its not a positive	ఇది సానుకూల పాత్ర లేదు
get the new	కొత్త పొందండి
how are judges chosen	ఎంపిక ఎలా జరుగుతుంది
its a great experience	ఇదొక చక్కని అనుభవం
tdp chief chandrababu naidu	అని తెదేపా అధినేత చంద్రబాబునాయుడు మండిపడ్డారు
qualification	అర్హత సంబంధిత విభాగంలో ఎండీ ఉత్తీర్ణత అనుభవం
shetty cant contest elections	ఎన్నికలలో పోటీ చేయడానికి వీల్లేదు
documents to avail loan	రుణం కోసం అవసరమైన పత్రాలు
is it a risk	ప్రమాదం కదా అంటే చిన్నప్పట్నుంచీ ఉన్నాం
even hindus eat	హిందువులు కూడా తింటారు
labour and authority	అండ్ అథారిటీ
why do you think	ఎందుకు కానీ
suicides by farmers continue	రైతుల కొనసాగుతోంది
want to increase height	మీరు ఎత్తు
houses are up	ఇండ్లు
how did he die	అతడికి ఎలా
two killed in shootout	ఘటనా ఇద్దరి మృతి
i can make suggestions	సలహాలు
please please come quick	నన్ను త్వరగా అక్కడకు అన్నాడు
bjp leaders are lying	బిజెపి నాయకులు చేస్తున్నారని అన్నారు
but i dont worry	కానీ నేను
god results are	చెప్పిన విషయాలు
no need to be	అవసరం లేదు కూడా
some things havent changed	కొన్ని మారలేదు
but he wasnt scared	అయినా తాను అన్నారు
a mother and child	పిల్లలు కూడా
it received tremendous response	దానికి అద్భుతమైన స్పందన వచ్చింది
rates are high	మృతుల రేటు ఇక్కడ ఎక్కువే
but thats really it	కానీ ఇది నిజమైన విషయం
he denied the reports	ఈ తెలిపారు
we already made plans	అప్పుడే ప్రణాళికలు సిద్ధం
let us it	దాన్ని మనం అని
do not anything	ఏమాత్రం నిర్లక్ష్యం చేయకూడదు
we can only	మేం కేవలం సాయం చేసి
in the past rs	గతంలో ఇల్లు కోసం రూ
black and gold	బ్లాక్ అండ్ గోల్డ్
mix the dry ingredients	పొడి మిశ్రమం కలపాలి
go back to sleep	ఇటు తిరిగి
another blow for tdp	ఏపీలో టీడీపీకి మరో షాక్ తగిలింది
please select an option	ఒక ఎంపికను ఎంచుకోండి
are as follows	రెసిపీ ఈ క్రింది విధంగా ఉంటుంది
their objective is different	వీరి ప్రవృత్తి మాత్రం దానికి
choose start menu folder	స్టార్ట్ మెనూ ఎంచుకోండి
then we do it	ఆ తర్వాత మేమే
corridor speed	వేగం రవాణా
and are working	మరియు వారు పని చేస్తుంది
he is very good	ఆయన చాలా ఎవరికి కష్టం వచ్చినా
we too should change	మనమే ఇంకా వుంది
is the ice melting	మంచు
pawan kalyan file photo	పవన్ కళ్యాణ్ ఫైల్ ఫొటో
change your email	మీ
loans to rs	ఇచ్చిన రుణాలు రూ
only some came back	కొందరు మాత్రమే ముందుకు వచ్చారు
cost price on request	బేస్ ధర
the car door opened	అంటూ కారు
the same was done	దే చేసింది
but she denies it	కానీ ఆమె ఓ
it can be anyone	అది ఎవరికైనా రావొచ్చు
it is totally false	ఇది పూర్తిగా అబద్ధం
virat eyes another record	విరాట్ మరో రికార్డ్
workers salary enhancement	పెంపు
nobody can avoid it	ఎవరూ
the number is rising	కౌంట్ పెరుగుతోంది
but the information	అయితే సమాచారం అయింది
green chilli finely chopped	గ్రీన్ క్యాప్సికమ్ సన్నగా కట్ చేసుకోవాలి
its no laughing matter	ఏం ప్రమాదం లేదు
in the past decade	గత
health insurance policy	ఆరోగ్య బీమా పాలసీ కదా
where is happiness located	మీకు ఆనందం ఎక్కడ దొరుకుతుంది
i like his acting	అయన నటన అంటే నాకు ఇష్టం
history to on	చరిత్ర ఆర్
digvijay singh file photo	దిగ్విజయ్ సింగ్ ఫైల్ ఫొటో
petrol prices in rs	పెట్రోల్ ధరలు చిత్రం
he has married twice	ఆమె రెండుసార్లు వివాహం చేసుకుంది
why i do it	నిజానికి ఎందుకు చేస్తాను
how is treated	చికిత్స ఎలా
the same happened here	సరిగ్గా ఇక్కడ కూడా అదే జరిగింది
such things keep happening	ఇలాంటి సంఘటనలు జరుగుతూనే ఉన్నాయి
theres no such thing	అలాంటిదేమీ
why is it popular	ఎందుకు సరిగ్గా ఇది ప్రజాదరణ ఉంది
such a fun movie	అంత సినిమా
women are not safe	రక్షణ లేకుండా
the railways get rs	ఏటా రూ
most important of all	అతి ముఖ్యమైన విషయం
crore to the state	కోట్లు ప్రభుత్వ పడ్డాయి
he asked his son	నేరుగా కొడుకును అడిగింది
each has symptoms	ప్రతి వ్యాధి లక్షణాలు
