its	అది ప్లస్ వన్ చదువుతున్నా
symptoms of cancer	చర్మ క్యాన్సర్ యొక్క లక్షణాలు
youth murders grandparents	యువకుడిని నరికి చంపిన బాబాయిలు
but no avail	కానీ ఎటువంటి లాభం లేదు
he wins it	తేడాతో ప్రత్యర్ధిని ఓడించి మ్యాచ్ను కైవసం చేసుకున్నాడు
queen of kundan	క్వీన్ అఫ్ ది క్వీన్
happiness for all	ప్రతి ఒక్కరికి ఆనందం బ్రహ్మానందం
theatre and cinema	సినిమా మరియు థియేటర్లో పని
another complaint filed	గన్ మరో పిటిషన్ దాఖలుచేశారు
delhi flights diverted	దిల్లీలో విమాన సర్వీసుల నిలిపివేత
the causes vary	చుండ్రు కారణాలు మారుతూ ఉంటాయి
questions like these	అని సవాలక్ష ప్రశ్నలు పుడతాయి
life is different	సమాజం వేరు జీవితం వేరు
she won rs	దీంతో ఆమె తాను గెలుచుకున్న రూ
heres another video	ఈ వీడియోలో మరో అంకం కూడా ఉంది
nobody should fear	వ్వరూ భయపడాల్సిన అవసరం లేదన్నారు
waterlogged roadsoverflowing drains	కొట్టుకుపోయిన రోడ్లు పొంగి ప్రవహిస్తున్న చెరువులు
poor water quality	కొళాయి నీరు పేద నాణ్యత
indian army history	భారత దేశ సైనిక చరిత్ర
heres another example	మరో ఉదాహరణ కూడా ఉంది
he was arrested	దీంతో అతడి అదుపులోకి తీసుకున్నారు
all very well	న్నీ కూడా చక్కగా కుదిరాయి
halfateaspoon mustard seeds	జీలకర్ర యొక్క హాఫ్ టీస్పూన్
art or entertainment	కళ లేదా సంపద అందిస్తోంది
demand cbi enquiry	ఇప్పటికైనా సీబీఐతో దర్యాప్తు జరిపించాలని డిమాండ్
in she married	లో అతను మేరీని వివాహం చేసుకున్నాడు
having sleeprelated problems	ఒకవేళ నిద్ర తక్కువైతే సమస్యలు ఎదురవుతాయా
he spent rs	తాము ఖర్చు చేసిన రూ
earthquake in japan	జపాన్లో భూకంపం భారీ విధ్వంసం
not other places	అలాగని ఇతర ప్రాంతాలకు వెళ్లొద్దని కాదు
faith is dwindling	నమ్మకం అనేది నెమ్మదిగా పోతుంటుంది
hdfc home loan	గృహ రుణాల దిగ్గజం హెచ్డీఎఫ్సీ
bullying happens everywhere	గురుత్వాకర్షణ అనేది ప్రతి ఒక్కచోట జరుగుతుంది
yes just one	అవును ఒకే ఒక్క మొనగాడు
so theres money	అందువల్ల కాస్త డబ్బులు వచ్చాయి
it continues unabated	నిర్విరామంగా నిరాటంకంగా సాగుతూనే ఉంది
who is binod	ఇంతకీ ఈ బినోద్ ఎవరు
he was emotional	దానికి అయన భావోద్వేగానికి లోనయ్యారు
aligarh muslim university	వి అలీఘర్ ముస్లిం విశ్వవిద్యాలయం
how these work	ఎలా ఈ అమరికలు పని
dial these numbers	ఈ నంబర్లకు ఫోన్ చేయండి
winning isnt easy	అతడిని గెలవడం అంత సులువేం కాదు
no social distancing	సామాజిక దూరం పాటించడం లేదు
his career plummeted	ఆయన కెరీర్ డౌన్ అయిపోయింది
crore as fines	సుమారు కోట్ల రూపాయల జరిమానా విధించారు
consequently prices plummeted	దీనివల్ల ధరలు భారీగా తగ్గాయి
gauri lankesh murder	కదలని గౌరీ లంకేశ్ హత్యకేసు
thats the thing	అదీ విషయం అంది బుచ్చమ్మ
lakh in damages	లక్షల పరిహారం చెల్లించాల్సి ఉంటుంది
second its tight	రెండవది అది కాంపాక్ట్ ఉంది
delhi transport department	ముసాయిదా సిద్ధం చేసిన ఢిల్లీ రవాణా శాఖ
rohit sharma out	రోహిత్ శర్మ ఔట్ కావడంతో
bbl new rules	ఆర్ బీఐ కొత్త నిబంధనలు
she is yearold	దాని వయస్సు సంవత్సరాలు ఉంటుందట
no stopping anywhere	బాలయ్య ఎక్కడా ఆగడం లేదు
some even vomited	కొందరిలో వాంతులు కూడా అవుతాయి
it was crore	కోట్లు ఎక్కడి నుండి వచ్చాయి
dont like something	ఏదీ నీకు నచ్చలేదు కదా
additional benefits include	అదనపు సేవలు కలిగి ఉంటాయి
so say it	అందుకే చెప్పండి చెరపకురా చెడేవు అని
ive two kids	నాకు ఇద్దరు పిల్లలున్నారు అంటున్నారు
i fell asleep	నాకు గాఢంగా నిద్ర పట్టేసింది
maybe theyre hiding	బహుశా వాళ్లు నిద్రపోతూ ఉంటారు అని ఎద్దేవా చేశారు
whats a coronavirus	కరోనా వైరస్ అంటే ఏమిటి
add hot milk	వేడి పాలు జత చేసి కలియబెట్టాలి
tablespoons olive oil	టేబుల్ స్పూన్లు ఫలహారశాలలు ఆలివ్ నూనె
his careers over	ఆమె కెరీర్ విషాద ముగిసింది
take them out	వెళ్లి వారిని ఔట్ చేయండిఅని అన్నాడు
urban development rs	మున్సిపల్ పట్టణాభివృద్ధి శాఖలకు రూ
i thanked god	దేవునికి ఆయన కృతజ్ఞతలు చెప్పుకొన్నాడు
pakistan is battleready	పాకిస్థాన్ సైన్యం యుద్ధానికి ఆతృత పడుతున్నది
rinse after halfanhour	పావుగంట తరవాత కడిగేసుకుంటే చాలు
we assure you	మీకు అండగా మేమున్నామనే హామీ
tv debates started	అంటూ టీవీల్లో చర్చా కార్యక్రమాలు మొదలయ్యాయి
answer childs queries	పిల్లల ప్రశ్నలకు తీవ్రమైన సమాధానాలు
same thing again	పదే పదే అదే మాట
sector thematic funds	సెక్టార్ ఫండ్లు థిమాటిక్ ఫండ్లు
dualbattery shvs system	డ్యూయల్బ్యాటరీ ఎస్ హెచ్ విసి వ్యవస్థ
trees produce oxygen	వృక్షాలు ఆక్సిజన్ విడుదల చేస్తాయి
he subsequently died	తరవాత ఆయన ప్రాణాలు వదిలాడు
turmeric powder spoon	బంగాళాదుంప పిండి టేబుల్ స్పూన్ చెంచా
observations and suggestions	అందిస్తోంది సలహాలు మరియు గమనికలు
movie review mom	సినిమా రివ్యూ సినిమా చూపిస్త మావ
crore cash seized	లక్షల విలువైనచోరీ సొత్తు స్వాధీనం
some are mischievous	కొంత మంది చాదస్తులు ఉంటారు
the recent rs	తాజాగా సిద్దిపేటలో ఓ వ్యక్తికి రూ
its all lies	ంతా మోసం అంటూ మండిపడ్డారు
icmrs latest study	ఐసిఎంఆర్ తాజా అధ్యయనం వెల్లడి
megapixel front camera	మెగా పిక్సల్ ఫ్రట్ ఫేసింగ్ కెమెరా
australia for sure	సాక్షాత్తూ ఆస్ట్రేలియా అంది అవును
xiaomi redmi specifications	షియోమి రెడ్మి ఏ ఫీచర్లు
asked a student	అని ఆ విద్యార్థిని ప్రశ్నించారు
limit their usage	వారి వాడుకను పరిమితం చేయండి
download and install	మీరు డౌన్లోడ్ మరియు ఇన్స్టాల్ చేయాలి
location and neighbourhood	భౌగోళిక స్థానం మరియు ప్రాంతం
but disruption continues	కానీ లోలోపల విధ్వంసం సృష్టిస్తూనే ఉంటుంది
but a recent	అయితే ఇంతకీ విషయం ఏంటంటే ఇటీవలే
seems pretty confident	చాలా నమ్మకంగా ఉన్నట్లు నటిస్తారు
kcr responds positively	దీనికి కేసీఆర్ సానుకూలంగా స్పందించారు
a real story	స్టోరీ ఒక రియల్ మాన్
in the race	పోటీలో వ స్థానంలో నిలిచింది
because he is	ఎందుకంటే అతను అలాంటోడే మరి
questioned adhir chowdhury	అని అధీర్రంజన్ చౌదరి ప్రశ్నించారు
garlic chopped tbsp	సన్నగా తరిగిన వెల్లుల్లి చెంచా
wheat procurement centres	పప్పు ధాన్యాల కొనుగోళ్ల కోసం కేంద్రాలు
for farmers rs	రైతుల ఇబ్బందులు దృష్టిలో పెట్టుకుని ఎకరాకు రూ
cant you understand	అర్థం కాలేదు కదూ చంద్రా
awards and honours	ప్రధాన పురస్కారాలు మరియు గౌరవాలు
thats very true	అది చాలా వరకూ నిజమే
friends and partners	విదేశీ స్నేహితులు మరియు సహచరులు
high court judgement	కీలక తీర్పు వెలువరించిన హైకోర్టు
heres the original	ఇక్కడే అసలు మెలిక ఉంది
am very happy	చాలా సంతోషంగా ఉంది అంటోంది శ్రావణి
children below age	పిల్లల వయస్సు సంవత్సరాలు కింద
but believe it	కానీ ఒక్కటి మాత్రం నమ్ము
most common symptoms	చీలమండ బెణుక యొక్క అత్యంత సాధారణ సంకేతాలు
china has none	చైనాకు ఎవరూ పోవడం లేదు
director vikram kumar	రచన దర్శకత్వం విక్రమ్ జమ్ముల
londons west end	ఈస్ట్ ఎండ్ ఆఫ్ లండన్
crores and rs	కోట్లు మిగిలిన మున్సిపాలిటీలకు రూ
crore was realised	కోట్ల విలువైన పనులు జరిగాయి
thats very interesting	అది చాలా ఆసక్తికరంగా ఉంటుంది
why dogs though	సో ఎందుకు కుక్కలు అరచు
symptoms and causes	కారణాలు మరియు గుదశోథము లక్షణాలు
altogether nearly rs	మూడూ కలిపి దాదాపుగా రూ
not even parents	తల్లిదండ్రుల్ని బట్టే పిల్లలు కదా
crore of turnover	కోట్ల వసూళ్లను కూడా సాధించింది
thats completely obvious	ఇది పూర్తి పారదర్శకంగా ఉంటుందన్నారు
theyre very big	అవి గుడ్లంత పెద్దవిగా ఉన్నాయి
i couldnt walk	దాంతో నేను నడవలేక పోయాను
crore of turnover	కోట్ల టర్న్ ఓవర్కు చేరుకుంది
he taught them	వాళ్లకు బోధలు చేస్తూ ఉన్నాడు
snooze tab until	వరకు ట్యాబు స్నూజ్ చేయి
madhura sreedhar director	నిర్మాత మధుర శ్రీధర్ మాట్లాడుతూ
killed in crash	మందిని బలిగొన్న విమాన ప్రమాదం
he loved music	అతనికి సంగీతం అంటే ఎంతో ఇష్టం
ha ha ha	ఛా ఛా ఛా అని బదులిచ్చారు
all sit together	అందరూ కలిసి కూర్చొని మాట్లాడుకోండి
congress working committee	తిరస్కరించిన కాంగ్రెస్ వర్కింగ్ కమిటీి
the strategy flopped	ఆ వ్యూహం బెడిసి కొట్టింది
total devices registered	నమోదు చేయబడిన మొత్తం పరికరాలు
photo soumita bhattacharya	ఫొటో విశాఖపట్నం సత్యనారాయణ ముర్తి
for every rs	పెట్టుబడి కోసం ప్రతి రైతు కుటుంబానికి రూ
second is geoeconomic	రెండో అర్థం సంబంధించిన ఆర్థిక భూగోళశాస్త్రం
lakh in cash	లక్షల నగదును తిరిగి అప్పగించాడు
australian batsman david warner	ఆస్ట్రేలియా స్టార్ ఆటగాడు డేవిడ్ వార్నర్
woman killed in stampede	తూ గో లో పిడుగుపాటుకు మహిళ మృతి
doctors too are delighted	వైద్యులు సంతోషం వ్యక్తం చేస్తున్నారు
it means elder sister	అంటే పెద్దన్నయ్య అని అర్థం
we see it everyday	మనం అది జరగడం రోజూ చూస్తుంటాం
_search for keys containing	దీనిని కలగివున్న కీల కొరకు శోధించుము
peoples lifestyle started changing	మనుషుల లైఫ్ స్టైల్ మారింది
its fun for everyone	అందరినీ తప్పకుండా అలరిస్తుంది అని చెప్పారు
close the current window	ప్రస్తుత విండొ లేక పత్రాన్ని మూసివేయి
two of them died	అందులో ఇద్దరు మృత్యువాత పడ్డారు
most people dont know	చాలా మందికి అతనెవరో తెలియదు
everybodys body is different	ఒక్కొక్కరి శరీర తీరు ఒక్కోలా ఉంటుంది
however these efforts failed	అయినప్పటికీ ఈ ప్రయత్నాలు విజయవంతం కాలేదు
i dont celebrate birthday	నాకు పుట్టినరోజులపై ఆసక్తి లేదు
telangana congress leaders clash	తెలంగాణ కాంగ్రెస్ నేతలు అమరులయ్యారంటున్న గుత్తా
our sentiments are hurt	మన మనస్సే మనల్ని బాధపెడుతుంది
it is always numeric	ఇది ఎల్లప్పుడూ సంఖ్య పెట్టారు
australia played better cricket	ఆస్ట్రేలియా మెరుగైన క్రికెట్ ఆడింది
putting people before things	వస్తువులకన్నా మనుషులకు ఎక్కువ విలువను ఇస్తారు
why was he released	ఆయనను స్వేచ్ఛగా ఎందుకు వదిలేశారు
which to do first	ముందుగా ఏయే పనులు చేయాలంటే
the clothes are dry	బట్టలు వదులుగా వేసుకుంటూ ఉంటుంది
but its not serious	అయితే ఇదంతా సీరియస్ అనుకునేరు ముమ్మాటికి కానే కాదు
movie review barah anna	సినిమా రివ్యూ భరత్ అనే నేను
shes had three sons	ఆమె తన భర్త ముగ్గురు కుమార్తెలు ఇచ్చారు
the puppy followed him	బీబమ్మ అతని వెంట నడిచింది
he did very well	తను చాలా చాలా బాగా చేసింది
restructure land acquisition act	భూ సేకరణ చట్ట సవరణ
dasara holidays are here	దసరా సెలవులు వస్తున్నా యి
ds yes and no	జాసన్ అవును మరియు కాదు
these should be avoided	అలాంటి వారు వీటికి దూరంగా ఉండాలి
however it is true	అయితే ఈ మొగ్గ లో నిజం
he had lost election	లోనూ అదే పార్టీ నుంచి పోటీ చేసి ఓడిపోయారు
but its not linear	కానీ అది రాతపూర్వకంగా కాదట
ajeet has two daughters	అంజయ్యకు ఇద్దరు కూతుర్లు ఉన్నారు
all are finished products	అన్ని ఉత్పత్తులు ముడి ఉన్నాయి
clean your hands often	ేతులను ఎప్పటికప్పుడు శుభ్రం చేసుకోండి
now time has changed	చూడోయ్ ఇప్పుడు కాలం మారింది
in vremen svyazujuschaya nit	ఉదా దబ్బున రావాలి పిలిసినప్పుడు
and why the bjp	మరి బిజెపికి ఎందుకింత బెదురు
is it not necessary	ఈ కాదు తప్పనిసరిగా పెట్టే
all performances are spoton	అన్నిచోట్లా అన్ని షోలూ ఫుల్లే
black money worth rs	నల్లధన వెలికితీత బ్లాక్ మనీని అడ్డుకునేందుకు రూ
first cousin once removed	మొదటి నుండి సాహిత్య కృషి సాగించారు
many people suffered injuries	అనేక మంది కాలిన గాయాలకు గురయ్యారు
post name office assistant	పోస్టు పేరు ఆఫీస్ అసిస్టెంట్
here no one cared	అక్కడ ఈమెను ఎవరూ పట్టించుకోలేదు
life has no destination	జీవితంలో ఒక గమ్యం అంటూ ఉండదు
so is all well	కాబట్టి అన్ని సుశి ఆరోగ్యకరమైనది
revenue has grown by	ట్రెజరీ రాబడులుకూడా శాతానికి పెరిగాయి
keep aside in water	వాటిని నీరు ఉంచాలి పక్కన
then everyone is happy	అప్పుడు మీరందరూ ఆనందంగా ఉండగలుగుతారు
be polite and courteous	మర్యాదపూర్వకంగా మరియు మృదువుగా ఉండండి
who was the shooter	కాల్పులు జరిపిన వ్యక్తి ఎవరు
apple rejected those claims	ఈ ప్రతిపాదనలను ఆపిల్ తిరస్కరించింది
i love my child	బాలయ్య అంటే నాకు ఎంతో ఇష్టం
